campana,maquina,motor,celda,repeticion,origen,gpu,instante,utilizacion_pct,memoria_mib,potencia_w,temperatura_c
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:42.339,23,30937,152.77,52
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:42.341,0,10161,121.9,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:43.343,0,30937,165.02,51
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:43.343,39,10161,143.22,47
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:44.343,95,30937,327.99,56
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:44.343,0,10161,129.43,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:45.343,81,30937,244.57,56
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:45.343,0,10161,95.69,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:46.343,84,30937,238.73,60
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:46.343,0,10161,138.34,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:54:47.343,86,30937,386.67,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:54:47.344,0,10161,95.92,42
