campana,maquina,motor,celda,repeticion,origen,gpu,muestras,utilizacion_mediana_pct,utilizacion_max_pct,potencia_mediana_w,potencia_media_w,potencia_max_w,memoria_max_mib
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,108,90.0,99,310.5,308.0,438.1,30937
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,108,0.0,90,109.5,124.8,269.6,10161
confianza,voz05,llamacpp,26b_4b_np4,01,confianza/llamacpp/26b_4b_np4/run_01/telemetria_gpu.csv,0,125,89,99,312.9,312.0,447.0,30937
confianza,voz05,llamacpp,26b_4b_np4,01,confianza/llamacpp/26b_4b_np4/run_01/telemetria_gpu.csv,1,125,0,90,100.8,122.7,385.1,16308
confianza,voz05,llamacpp,26b_4b_np4,05,confianza/llamacpp/26b_4b_np4/run_05/telemetria_gpu.csv,0,115,90,99,318.6,312.4,449.8,30937
confianza,voz05,llamacpp,26b_4b_np4,05,confianza/llamacpp/26b_4b_np4/run_05/telemetria_gpu.csv,1,115,0,84,105.5,119.8,297.0,10161
confianza,voz05,llamacpp,26b_4b_np4,07,confianza/llamacpp/26b_4b_np4/run_07/telemetria_gpu.csv,0,110,90.0,99,317.7,309.9,425.2,30937
confianza,voz05,llamacpp,26b_4b_np4,07,confianza/llamacpp/26b_4b_np4/run_07/telemetria_gpu.csv,1,110,0.0,87,110.7,120.4,251.8,10161
confianza,voz05,llamacpp,26b_4b_np4,06,confianza/llamacpp/26b_4b_np4/run_06/telemetria_gpu.csv,0,106,89.0,99,308.2,307.7,457.2,30937
confianza,voz05,llamacpp,26b_4b_np4,06,confianza/llamacpp/26b_4b_np4/run_06/telemetria_gpu.csv,1,106,0.0,90,113.8,125.8,318.7,10161
confianza,voz05,llamacpp,26b_4b_np4,10,confianza/llamacpp/26b_4b_np4/run_10/telemetria_gpu.csv,0,108,88.5,99,303.7,299.4,416.4,30937
confianza,voz05,llamacpp,26b_4b_np4,10,confianza/llamacpp/26b_4b_np4/run_10/telemetria_gpu.csv,1,108,0.0,90,110.0,124.3,339.1,10161
confianza,voz05,llamacpp,26b_4b_np4,09,confianza/llamacpp/26b_4b_np4/run_09/telemetria_gpu.csv,0,111,90,99,310.9,308.5,444.5,30937
confianza,voz05,llamacpp,26b_4b_np4,09,confianza/llamacpp/26b_4b_np4/run_09/telemetria_gpu.csv,1,111,0,90,110.0,121.6,279.2,10161
confianza,voz05,llamacpp,26b_4b_np4,08,confianza/llamacpp/26b_4b_np4/run_08/telemetria_gpu.csv,0,103,89,95,308.3,303.0,406.4,30937
confianza,voz05,llamacpp,26b_4b_np4,08,confianza/llamacpp/26b_4b_np4/run_08/telemetria_gpu.csv,1,103,0,89,112.9,124.9,290.6,10161
confianza,voz05,llamacpp,26b_4b_np4,03,confianza/llamacpp/26b_4b_np4/run_03/telemetria_gpu.csv,0,110,89.0,99,309.2,307.6,444.8,30937
