experimento,campana,maquina,motor,celda,run,fecha,modelo_gen,rerank,coleccion,niveles,n_requests,n_ok,wall_s,duracion_telemetria_s,n_consultas_log,tokens_entrada,tokens_salida,tokens_salida_estim_palabras,energia_wh,energia_marginal_wh,pot_media_w,n_gpus
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_01,confianza,voz05,llamacpp,12b_06b_np1,run_01,2026-07-04 20:02:06,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,333.3,333.1,79,279635,31449,29358,42.653,5.054,460.9,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_02,confianza,voz05,llamacpp,12b_06b_np1,run_02,2026-07-04 20:07:39,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,278.3,278.0,78,339286,24298,22220,35.595,4.444,460.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_03,confianza,voz05,llamacpp,12b_06b_np1,run_03,2026-07-04 20:12:18,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,355.5,355.1,78,342139,31836,29623,45.908,5.877,465.3,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_04,confianza,voz05,llamacpp,12b_06b_np1,run_04,2026-07-04 20:18:14,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,294.4,294.0,79,315465,26228,23957,37.673,4.453,460.9,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_05,confianza,voz05,llamacpp,12b_06b_np1,run_05,2026-07-04 20:23:09,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,309.0,308.0,78,348357,25836,23977,39.75,5.141,464.3,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_06,confianza,voz05,llamacpp,12b_06b_np1,run_06,2026-07-04 20:28:18,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,291.9,291.1,78,381207,24062,22087,37.62,5.002,465.1,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_07,confianza,voz05,llamacpp,12b_06b_np1,run_07,2026-07-04 20:33:10,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,318.2,318.1,78,353507,27240,25337,40.966,5.361,463.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_08,confianza,voz05,llamacpp,12b_06b_np1,run_08,2026-07-04 20:38:29,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,288.7,288.0,78,355283,24607,22608,37.012,4.708,462.3,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_09,confianza,voz05,llamacpp,12b_06b_np1,run_09,2026-07-04 20:43:18,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,301.7,301.1,80,375904,25267,22978,38.931,5.087,465.2,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np1/run_10,confianza,voz05,llamacpp,12b_06b_np1,run_10,2026-07-04 20:48:20,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,296.1,296.0,79,336018,26085,23902,37.783,4.561,459.2,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_01,confianza,voz05,llamacpp,12b_06b_np4,run_01,2026-07-04 19:03:22,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,189.2,189.0,81,288719,31798,29167,26.335,5.926,501.0,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_02,confianza,voz05,llamacpp,12b_06b_np4,run_02,2026-07-04 19:06:32,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,150.7,150.0,77,324008,22538,21019,20.929,6.354,501.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_03,confianza,voz05,llamacpp,12b_06b_np4,run_03,2026-07-04 19:09:03,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,190.0,189.0,81,352015,34076,30945,26.554,3.89,505.1,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_04,confianza,voz05,llamacpp,12b_06b_np4,run_04,2026-07-04 19:12:13,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,167.7,167.0,82,329289,27040,24240,23.167,6.081,498.6,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_05,confianza,voz05,llamacpp,12b_06b_np4,run_05,2026-07-04 19:15:01,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,168.5,168.0,81,366600,26217,23718,23.347,5.98,499.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_06,confianza,voz05,llamacpp,12b_06b_np4,run_06,2026-07-04 19:17:50,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,165.4,165.0,78,384093,22993,20977,22.934,5.091,499.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_07,confianza,voz05,llamacpp,12b_06b_np4,run_07,2026-07-04 19:20:36,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,180.7,180.0,79,360506,27609,25391,25.223,5.717,503.8,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_08,confianza,voz05,llamacpp,12b_06b_np4,run_08,2026-07-04 19:23:37,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,155.3,155.0,78,353745,23543,21686,21.635,6.257,501.6,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_09,confianza,voz05,llamacpp,12b_06b_np4,run_09,2026-07-04 19:26:13,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,169.9,169.0,82,376528,26393,23383,23.607,6.747,502.2,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np4/run_10,confianza,voz05,llamacpp,12b_06b_np4,run_10,2026-07-04 19:29:03,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,167.9,167.0,78,332999,26824,24753,23.196,5.271,499.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_01,confianza,voz05,llamacpp,12b_06b_np8,run_01,2026-07-04 18:03:41,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,177.8,178.0,78,274257,30015,28301,24.338,6.378,491.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_02,confianza,voz05,llamacpp,12b_06b_np8,run_02,2026-07-04 18:06:39,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,159.8,159.0,77,329457,23203,21608,21.66,6.937,489.8,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_03,confianza,voz05,llamacpp,12b_06b_np8,run_03,2026-07-04 18:09:19,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,207.8,207.0,78,343363,32374,30395,28.621,10.893,497.2,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_04,confianza,voz05,llamacpp,12b_06b_np8,run_04,2026-07-04 18:12:47,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,168.1,168.0,78,314839,25788,24189,22.817,8.783,488.1,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_05,confianza,voz05,llamacpp,12b_06b_np8,run_05,2026-07-04 18:15:36,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,179.2,179.0,78,348296,25196,23635,24.526,9.424,492.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_06,confianza,voz05,llamacpp,12b_06b_np8,run_06,2026-07-04 18:18:35,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,163.5,163.0,78,381392,22267,20744,22.448,8.127,495.1,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_07,confianza,voz05,llamacpp,12b_06b_np8,run_07,2026-07-04 18:21:19,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,177.2,177.0,77,350449,27587,25716,24.497,9.774,497.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_08,confianza,voz05,llamacpp,12b_06b_np8,run_08,2026-07-04 18:24:17,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,172.5,172.0,77,351137,23976,22241,23.586,7.812,493.0,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_09,confianza,voz05,llamacpp,12b_06b_np8,run_09,2026-07-04 18:27:10,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,174.3,174.0,78,366362,25682,24051,23.856,7.919,493.1,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_06b_np8/run_10,confianza,voz05,llamacpp,12b_06b_np8,run_10,2026-07-04 18:30:04,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,172.0,171.0,78,333134,27218,25011,23.427,8.023,492.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_01,confianza,voz05,llamacpp,12b_4b_np1,run_01,2026-07-04 20:53:18,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,364.9,364.1,79,325860,33168,30922,47.515,6.38,469.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_02,confianza,voz05,llamacpp,12b_4b_np1,run_02,2026-07-04 20:59:24,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,285.9,285.0,78,348959,24558,22422,37.075,5.163,468.0,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_03,confianza,voz05,llamacpp,12b_4b_np1,run_03,2026-07-04 21:04:10,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,363.4,363.1,78,328862,32742,30588,47.363,6.543,469.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_04,confianza,voz05,llamacpp,12b_4b_np1,run_04,2026-07-04 21:10:14,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,299.1,299.0,80,335813,27105,24917,38.48,5.061,462.9,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_05,confianza,voz05,llamacpp,12b_4b_np1,run_05,2026-07-04 21:15:13,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,315.1,315.1,79,388507,26210,24035,41.185,5.947,470.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_06,confianza,voz05,llamacpp,12b_4b_np1,run_06,2026-07-04 21:20:29,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,300.3,300.0,77,403921,24904,22663,39.149,5.479,469.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_07,confianza,voz05,llamacpp,12b_4b_np1,run_07,2026-07-04 21:25:30,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,319.9,319.1,78,354647,28052,26152,41.211,5.498,464.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_08,confianza,voz05,llamacpp,12b_4b_np1,run_08,2026-07-04 21:30:50,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,276.7,276.0,77,360509,23538,21979,35.724,4.958,465.7,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_09,confianza,voz05,llamacpp,12b_4b_np1,run_09,2026-07-04 21:35:27,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,294.1,294.1,79,376105,25104,22964,38.2,5.643,467.3,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np1/run_10,confianza,voz05,llamacpp,12b_4b_np1,run_10,2026-07-04 21:40:21,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,295.4,295.0,76,338895,25554,24088,37.841,4.714,461.5,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np4/run_01,confianza,voz05,llamacpp,12b_4b_np4,run_01,2026-07-04 19:31:55,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,211.9,211.0,80,329798,33709,31193,30.124,6.167,513.4,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np4/run_02,confianza,voz05,llamacpp,12b_4b_np4,run_02,2026-07-04 19:35:27,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,164.2,164.0,78,349901,25051,23075,23.379,6.258,512.3,2
eval/prueba_carga_usuarios/confianza/llamacpp/12b_4b_np4/run_03,confianza,voz05,llamacpp,12b_4b_np4,run_03,2026-07-04 19:38:12,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,207.2,207.0,81,345850,32952,30229,29.618,5.685,514.5,2
