timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 22:02:47.256, 0, 88855, 97887, 0, 162.07, 47
2026/06/28 22:02:47.261, 1, 16278, 97887, 0, 104.33, 41
2026/06/28 22:02:47.765, 0, 88855, 97887, 0, 107.01, 47
2026/06/28 22:02:47.765, 1, 16278, 97887, 0, 109.08, 41
2026/06/28 22:02:48.265, 0, 88855, 97887, 0, 107.01, 47
2026/06/28 22:02:48.265, 1, 16278, 97887, 0, 113.26, 41
2026/06/28 22:02:48.765, 0, 88855, 97887, 99, 126.11, 50
2026/06/28 22:02:48.765, 1, 16278, 97887, 0, 113.26, 41
2026/06/28 22:02:49.265, 0, 88855, 97887, 56, 193.90, 58
2026/06/28 22:02:49.265, 1, 16278, 97887, 0, 93.92, 41
2026/06/28 22:02:49.765, 0, 88855, 97887, 100, 292.43, 51
2026/06/28 22:02:49.765, 1, 16278, 97887, 0, 93.92, 41
2026/06/28 22:02:50.265, 0, 88855, 97887, 100, 280.21, 51
2026/06/28 22:02:50.265, 1, 16278, 97887, 0, 94.47, 41
2026/06/28 22:02:50.765, 0, 88855, 97887, 100, 262.39, 51
2026/06/28 22:02:50.765, 1, 16278, 97887, 0, 94.47, 41
2026/06/28 22:02:51.266, 0, 88855, 97887, 100, 262.73, 51
2026/06/28 22:02:51.266, 1, 16278, 97887, 0, 94.53, 41
2026/06/28 22:02:51.766, 0, 88855, 97887, 100, 260.24, 51
2026/06/28 22:02:51.766, 1, 16278, 97887, 0, 94.53, 41
2026/06/28 22:02:52.266, 0, 88855, 97887, 100, 260.75, 51
2026/06/28 22:02:52.266, 1, 16278, 97887, 0, 94.56, 41
2026/06/28 22:02:52.766, 0, 88855, 97887, 100, 261.98, 51
2026/06/28 22:02:52.766, 1, 16278, 97887, 0, 94.56, 41
2026/06/28 22:02:53.266, 0, 88855, 97887, 100, 261.16, 51
2026/06/28 22:02:53.266, 1, 16278, 97887, 0, 94.58, 41
2026/06/28 22:02:53.766, 0, 88855, 97887, 100, 260.54, 51
2026/06/28 22:02:53.766, 1, 16278, 97887, 0, 94.58, 41
2026/06/28 22:02:54.266, 0, 88855, 97887, 0, 212.15, 57
2026/06/28 22:02:54.266, 1, 16278, 97887, 0, 102.12, 41
2026/06/28 22:02:54.767, 0, 88855, 97887, 100, 336.11, 61
2026/06/28 22:02:54.767, 1, 16278, 97887, 0, 100.12, 41
2026/06/28 22:02:55.267, 0, 88855, 97887, 100, 488.07, 56
2026/06/28 22:02:55.267, 1, 16278, 97887, 0, 99.61, 41
2026/06/28 22:02:55.767, 0, 88855, 97887, 100, 404.10, 54
2026/06/28 22:02:55.767, 1, 16278, 97887, 0, 99.61, 41
2026/06/28 22:02:56.267, 0, 88855, 97887, 100, 317.27, 54
2026/06/28 22:02:56.267, 1, 16278, 97887, 0, 95.09, 41
2026/06/28 22:02:56.767, 0, 88855, 97887, 100, 394.96, 61
2026/06/28 22:02:56.767, 1, 16278, 97887, 0, 95.09, 41
2026/06/28 22:02:57.267, 0, 88855, 97887, 100, 478.21, 62
2026/06/28 22:02:57.267, 1, 16278, 97887, 0, 94.81, 41
2026/06/28 22:02:57.767, 0, 88855, 97887, 100, 486.31, 62
2026/06/28 22:02:57.767, 1, 16278, 97887, 0, 94.81, 41
2026/06/28 22:02:58.267, 0, 88855, 97887, 100, 485.90, 62
2026/06/28 22:02:58.268, 1, 16288, 97887, 16, 95.45, 41
2026/06/28 22:02:58.768, 0, 88855, 97887, 100, 482.75, 61
2026/06/28 22:02:58.768, 1, 16288, 97887, 0, 95.33, 41
2026/06/28 22:02:59.268, 0, 88855, 97887, 100, 482.03, 63
2026/06/28 22:02:59.268, 1, 16290, 97887, 0, 108.52, 43
2026/06/28 22:02:59.768, 0, 88855, 97887, 100, 485.55, 64
2026/06/28 22:02:59.768, 1, 16290, 97887, 0, 109.14, 41
2026/06/28 22:03:00.268, 0, 88855, 97887, 100, 494.26, 64
2026/06/28 22:03:00.269, 1, 16290, 97887, 1, 103.03, 41
2026/06/28 22:03:00.769, 0, 88855, 97887, 100, 499.93, 62
2026/06/28 22:03:00.769, 1, 16290, 97887, 0, 96.07, 41
2026/06/28 22:03:01.269, 0, 88855, 97887, 100, 499.90, 63
