timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 21:55:18.491, 0, 88855, 97887, 0, 152.72, 45
2026/06/28 21:55:18.495, 1, 16278, 97887, 0, 126.01, 39
2026/06/28 21:55:18.999, 0, 88855, 97887, 0, 88.89, 45
2026/06/28 21:55:18.999, 1, 16278, 97887, 0, 118.38, 39
2026/06/28 21:55:19.499, 0, 88855, 97887, 0, 88.89, 45
2026/06/28 21:55:19.499, 1, 16278, 97887, 0, 101.16, 39
2026/06/28 21:55:19.999, 0, 88855, 97887, 99, 134.75, 48
2026/06/28 21:55:19.999, 1, 16278, 97887, 0, 101.16, 39
2026/06/28 21:55:20.499, 0, 88855, 97887, 99, 163.27, 48
2026/06/28 21:55:20.499, 1, 16278, 97887, 0, 93.39, 39
2026/06/28 21:55:20.999, 0, 88855, 97887, 100, 243.84, 49
2026/06/28 21:55:21.000, 1, 16278, 97887, 0, 93.39, 39
2026/06/28 21:55:21.500, 0, 88855, 97887, 100, 257.82, 49
2026/06/28 21:55:21.500, 1, 16278, 97887, 0, 93.16, 39
2026/06/28 21:55:22.000, 0, 88855, 97887, 100, 259.88, 49
2026/06/28 21:55:22.000, 1, 16278, 97887, 0, 93.16, 39
2026/06/28 21:55:22.500, 0, 88855, 97887, 100, 260.04, 49
2026/06/28 21:55:22.500, 1, 16278, 97887, 0, 93.71, 39
2026/06/28 21:55:23.000, 0, 88855, 97887, 99, 259.73, 49
2026/06/28 21:55:23.000, 1, 16278, 97887, 0, 93.71, 39
2026/06/28 21:55:23.500, 0, 88855, 97887, 100, 259.20, 49
2026/06/28 21:55:23.500, 1, 16278, 97887, 0, 93.53, 39
2026/06/28 21:55:24.001, 0, 88855, 97887, 100, 260.29, 49
2026/06/28 21:55:24.001, 1, 16278, 97887, 0, 93.53, 39
2026/06/28 21:55:24.501, 0, 88855, 97887, 100, 258.40, 49
2026/06/28 21:55:24.501, 1, 16278, 97887, 0, 93.59, 39
2026/06/28 21:55:25.001, 0, 88855, 97887, 0, 228.41, 47
2026/06/28 21:55:25.001, 1, 16278, 97887, 26, 93.36, 40
2026/06/28 21:55:25.502, 0, 88855, 97887, 93, 190.32, 50
2026/06/28 21:55:25.502, 1, 16280, 97887, 0, 94.64, 40
2026/06/28 21:55:26.002, 0, 88855, 97887, 100, 235.92, 51
2026/06/28 21:55:26.002, 1, 16280, 97887, 0, 95.74, 40
2026/06/28 21:55:26.502, 0, 88855, 97887, 99, 296.61, 51
2026/06/28 21:55:26.502, 1, 16280, 97887, 0, 95.71, 40
2026/06/28 21:55:27.002, 0, 88855, 97887, 100, 301.12, 51
2026/06/28 21:55:27.002, 1, 16290, 97887, 43, 125.51, 43
2026/06/28 21:55:27.503, 0, 88855, 97887, 100, 303.88, 51
