timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 21:30:02.483, 0, 88855, 97887, 0, 137.46, 45
2026/06/28 21:30:02.487, 1, 16278, 97887, 0, 135.23, 40
2026/06/28 21:30:02.991, 0, 88855, 97887, 0, 105.21, 45
2026/06/28 21:30:02.991, 1, 16278, 97887, 0, 115.96, 40
2026/06/28 21:30:03.492, 0, 88855, 97887, 0, 105.21, 45
2026/06/28 21:30:03.492, 1, 16278, 97887, 0, 113.95, 40
2026/06/28 21:30:03.992, 0, 88855, 97887, 99, 131.24, 48
2026/06/28 21:30:03.992, 1, 16278, 97887, 0, 113.95, 40
2026/06/28 21:30:04.492, 0, 88855, 97887, 0, 162.54, 53
2026/06/28 21:30:04.492, 1, 16278, 97887, 5, 93.62, 40
2026/06/28 21:30:04.992, 0, 88855, 97887, 100, 269.60, 49
2026/06/28 21:30:04.992, 1, 16278, 97887, 0, 93.69, 40
2026/06/28 21:30:05.492, 0, 88855, 97887, 100, 296.62, 49
2026/06/28 21:30:05.492, 1, 16278, 97887, 0, 94.02, 40
2026/06/28 21:30:05.992, 0, 88855, 97887, 100, 258.13, 49
2026/06/28 21:30:05.993, 1, 16278, 97887, 0, 94.02, 40
2026/06/28 21:30:06.493, 0, 88855, 97887, 100, 258.78, 49
2026/06/28 21:30:06.493, 1, 16278, 97887, 0, 93.49, 40
2026/06/28 21:30:06.993, 0, 88855, 97887, 100, 258.93, 49
2026/06/28 21:30:06.993, 1, 16278, 97887, 0, 93.49, 40
2026/06/28 21:30:07.493, 0, 88855, 97887, 99, 258.63, 50
2026/06/28 21:30:07.493, 1, 16278, 97887, 0, 93.41, 40
2026/06/28 21:30:07.993, 0, 88855, 97887, 100, 258.58, 50
2026/06/28 21:30:07.993, 1, 16278, 97887, 0, 93.41, 40
2026/06/28 21:30:08.493, 0, 88855, 97887, 100, 258.66, 50
2026/06/28 21:30:08.493, 1, 16278, 97887, 0, 93.38, 40
2026/06/28 21:30:08.993, 0, 88855, 97887, 100, 256.01, 50
2026/06/28 21:30:08.993, 1, 16278, 97887, 0, 93.38, 40
2026/06/28 21:30:09.494, 0, 88855, 97887, 0, 188.49, 47
2026/06/28 21:30:09.494, 1, 16282, 97887, 25, 119.88, 41
2026/06/28 21:30:09.994, 0, 88855, 97887, 100, 209.08, 51
2026/06/28 21:30:09.994, 1, 16282, 97887, 0, 112.40, 40
2026/06/28 21:30:10.494, 0, 88855, 97887, 49, 240.76, 48
2026/06/28 21:30:10.494, 1, 16290, 97887, 7, 95.03, 40
2026/06/28 21:30:10.994, 0, 88855, 97887, 100, 295.27, 56
2026/06/28 21:30:10.994, 1, 16290, 97887, 3, 111.76, 40
2026/06/28 21:30:11.495, 0, 88855, 97887, 100, 409.82, 59
2026/06/28 21:30:11.495, 1, 16292, 97887, 25, 117.98, 40
2026/06/28 21:30:11.995, 0, 88855, 97887, 100, 454.22, 55
2026/06/28 21:30:11.995, 1, 16292, 97887, 0, 99.43, 40
2026/06/28 21:30:12.495, 0, 88855, 97887, 100, 387.69, 53
2026/06/28 21:30:12.495, 1, 16292, 97887, 0, 94.74, 40
2026/06/28 21:30:12.995, 0, 88855, 97887, 100, 305.55, 53
2026/06/28 21:30:12.995, 1, 16292, 97887, 0, 94.74, 40
2026/06/28 21:30:13.495, 0, 88855, 97887, 100, 305.46, 53
2026/06/28 21:30:13.495, 1, 16292, 97887, 0, 93.93, 40
2026/06/28 21:30:13.995, 0, 88855, 97887, 100, 304.80, 53
2026/06/28 21:30:13.995, 1, 16292, 97887, 0, 93.93, 40
2026/06/28 21:30:14.496, 0, 88855, 97887, 100, 303.88, 53
2026/06/28 21:30:14.496, 1, 16292, 97887, 0, 93.79, 40
2026/06/28 21:30:14.996, 0, 88855, 97887, 100, 300.62, 53
2026/06/28 21:30:14.996, 1, 16292, 97887, 0, 98.11, 40
2026/06/28 21:30:15.496, 0, 88855, 97887, 100, 296.77, 53
2026/06/28 21:30:15.496, 1, 16292, 97887, 0, 117.62, 41
2026/06/28 21:30:15.996, 0, 88855, 97887, 100, 294.06, 53
2026/06/28 21:30:15.996, 1, 16292, 97887, 0, 115.35, 40
2026/06/28 21:30:16.496, 0, 88855, 97887, 100, 294.40, 53
2026/06/28 21:30:16.496, 1, 16292, 97887, 0, 132.23, 41
2026/06/28 21:30:16.996, 0, 88855, 97887, 100, 294.54, 53
2026/06/28 21:30:16.997, 1, 16292, 97887, 0, 136.34, 41
2026/06/28 21:30:17.497, 0, 88855, 97887, 100, 294.08, 53
2026/06/28 21:30:17.497, 1, 16292, 97887, 0, 98.27, 40
2026/06/28 21:30:17.997, 0, 88855, 97887, 100, 294.16, 53
2026/06/28 21:30:17.997, 1, 16292, 97887, 0, 98.27, 40
2026/06/28 21:30:18.497, 0, 88855, 97887, 100, 284.64, 52
2026/06/28 21:30:18.497, 1, 16296, 97887, 77, 160.38, 43
2026/06/28 21:30:18.997, 0, 88855, 97887, 100, 269.25, 52
2026/06/28 21:30:18.997, 1, 16296, 97887, 0, 146.05, 41
2026/06/28 21:30:19.497, 0, 88855, 97887, 20, 232.22, 49
2026/06/28 21:30:19.497, 1, 16296, 97887, 3, 170.77, 44
2026/06/28 21:30:19.997, 0, 88855, 97887, 0, 154.42, 48
2026/06/28 21:30:19.998, 1, 16296, 97887, 0, 194.93, 42
2026/06/28 21:30:20.498, 0, 88855, 97887, 100, 177.27, 53
2026/06/28 21:30:20.498, 1, 16296, 97887, 0, 133.84, 41
2026/06/28 21:30:20.998, 0, 88855, 97887, 100, 282.79, 54
2026/06/28 21:30:20.998, 1, 16296, 97887, 0, 119.96, 41
2026/06/28 21:30:21.498, 0, 88855, 97887, 99, 268.60, 52
2026/06/28 21:30:21.498, 1, 16296, 97887, 9, 104.62, 41
2026/06/28 21:30:21.998, 0, 88855, 97887, 100, 257.29, 53
2026/06/28 21:30:21.998, 1, 16296, 97887, 42, 121.46, 43
2026/06/28 21:30:22.498, 0, 88855, 97887, 100, 316.84, 54
2026/06/28 21:30:22.499, 1, 16296, 97887, 3, 132.96, 42
2026/06/28 21:30:22.999, 0, 88855, 97887, 100, 319.57, 53
2026/06/28 21:30:22.999, 1, 16296, 97887, 0, 118.04, 41
2026/06/28 21:30:23.499, 0, 88855, 97887, 100, 293.78, 54
2026/06/28 21:30:23.499, 1, 16296, 97887, 0, 96.03, 41
2026/06/28 21:30:23.999, 0, 88855, 97887, 100, 288.91, 53
2026/06/28 21:30:23.999, 1, 16296, 97887, 22, 140.86, 41
2026/06/28 21:30:24.499, 0, 88855, 97887, 100, 289.81, 54
2026/06/28 21:30:24.499, 1, 16296, 97887, 0, 152.99, 41
2026/06/28 21:30:24.999, 0, 88855, 97887, 100, 293.86, 54
2026/06/28 21:30:25.000, 1, 16296, 97887, 9, 117.55, 41
2026/06/28 21:30:25.500, 0, 88855, 97887, 100, 295.25, 54
2026/06/28 21:30:25.500, 1, 16296, 97887, 0, 123.46, 43
2026/06/28 21:30:26.000, 0, 88855, 97887, 100, 296.47, 54
2026/06/28 21:30:26.000, 1, 16296, 97887, 22, 152.33, 43
2026/06/28 21:30:26.500, 0, 88855, 97887, 100, 292.76, 54
2026/06/28 21:30:26.500, 1, 16296, 97887, 0, 169.08, 41
2026/06/28 21:30:27.000, 0, 88855, 97887, 100, 288.84, 54
2026/06/28 21:30:27.000, 1, 16296, 97887, 0, 127.97, 41
2026/06/28 21:30:27.500, 0, 88855, 97887, 100, 300.56, 54
2026/06/28 21:30:27.501, 1, 16296, 97887, 65, 146.55, 42
2026/06/28 21:30:28.001, 0, 88855, 97887, 100, 319.02, 55
2026/06/28 21:30:28.001, 1, 16296, 97887, 0, 151.93, 41
2026/06/28 21:30:28.501, 0, 88855, 97887, 100, 325.10, 55
2026/06/28 21:30:28.503, 1, 16296, 97887, 0, 97.05, 41
2026/06/28 21:30:29.003, 0, 88855, 97887, 100, 324.70, 55
2026/06/28 21:30:29.003, 1, 16296, 97887, 0, 97.50, 41
2026/06/28 21:30:29.503, 0, 88855, 97887, 100, 326.18, 55
2026/06/28 21:30:29.503, 1, 16296, 97887, 0, 96.94, 41
2026/06/28 21:30:30.003, 0, 88855, 97887, 100, 324.62, 55
2026/06/28 21:30:30.003, 1, 16296, 97887, 56, 130.41, 44
2026/06/28 21:30:30.503, 0, 88855, 97887, 100, 319.31, 55
2026/06/28 21:30:30.503, 1, 16296, 97887, 70, 182.60, 45
2026/06/28 21:30:31.004, 0, 88855, 97887, 100, 311.46, 54
2026/06/28 21:30:31.004, 1, 16296, 97887, 31, 229.49, 45
2026/06/28 21:30:31.504, 0, 88855, 97887, 100, 305.38, 54
2026/06/28 21:30:31.504, 1, 16296, 97887, 0, 222.93, 45
2026/06/28 21:30:32.004, 0, 88855, 97887, 100, 296.49, 54
2026/06/28 21:30:32.004, 1, 16296, 97887, 1, 163.27, 42
