ts,vllm:kv_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_preemptions_total,vllm:prompt_tokens_total,vllm:generation_tokens_total,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_count
1782675003.499,0.0,0.0,0.0,0.0,5636.0,1516.0,2784.0,5636.0,4368.0,1516.0,0.7506179809570312,4.0,8.057994712027721,1512.0,0.021235338745276854,4.0,0.023368441965430975,4.0,0.16437584802042693,4.0,8.057994712027721,4.0,1516.0,4.0,5636.0,4.0
1782675004.000,0.003486511202560605,1.0,0.0,0.0,6867.0,1580.0,3968.0,6867.0,4479.0,1580.0,0.7769572734832764,5.0,8.390056763077155,1575.0,0.021235338745276854,4.0,0.023368441965430975,4.0,0.16437584802042693,4.0,8.057994712027721,4.0,1516.0,4.0,5636.0,4.0
1782675004.500,0.004477213839353733,1.0,0.0,0.0,11499.0,1605.0,4288.0,11499.0,8816.0,1605.0,0.9728772640228271,6.0,8.518686474184506,1599.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675005.000,0.004505791800030523,1.0,0.0,0.0,11499.0,1699.0,4288.0,11499.0,8910.0,1699.0,0.9728772640228271,6.0,9.05166992614977,1693.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675005.501,0.004534369760707202,1.0,0.0,0.0,11499.0,1787.0,4288.0,11499.0,8998.0,1787.0,0.9728772640228271,6.0,9.550878770183772,1781.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675006.002,0.004562947721383881,1.0,0.0,0.0,11499.0,1875.0,4288.0,11499.0,9086.0,1875.0,0.9728772640228271,6.0,10.049878744175658,1869.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675006.502,0.004591525682060671,1.0,0.0,0.0,11499.0,1964.0,4288.0,11499.0,9175.0,1964.0,0.9728772640228271,6.0,10.55491185223218,1958.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675007.002,0.0046105776558451605,1.0,0.0,0.0,11499.0,2052.0,4288.0,11499.0,9263.0,2052.0,0.9728772640228271,6.0,11.054438567138277,2046.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675007.503,0.0046391556165218395,1.0,0.0,0.0,11499.0,2140.0,4288.0,11499.0,9351.0,2140.0,0.9728772640228271,6.0,11.556883864221163,2134.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675008.003,0.0046677335771986295,1.0,0.0,0.0,11499.0,2227.0,4288.0,11499.0,9438.0,2227.0,0.9728772640228271,6.0,12.056173729128204,2221.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675008.504,0.004696311537875308,1.0,0.0,0.0,11499.0,2314.0,4288.0,11499.0,9525.0,2314.0,0.9728772640228271,6.0,12.55460478423629,2308.0,0.026510041866931185,5.0,0.023396341945044696,5.0,0.1811087270034477,5.0,8.49579507112503,5.0,1600.0,5.0,6867.0,5.0
1782675009.005,0.0,0.0,0.0,0.0,11499.0,2400.0,4288.0,11499.0,9611.0,2400.0,0.9728772640228271,6.0,13.047888337168843,2394.0,0.03220727999714872,6.0,0.023418771917931736,6.0,0.3611272049602121,6.0,13.047888337168843,6.0,2400.0,6.0,11499.0,6.0
1782675009.505,0.004839201341258925,10.0,0.0,0.0,20133.0,2435.0,16320.0,23829.0,9896.0,2413.0,1.2247402667999268,13.0,13.289509177673608,2422.0,0.03220727999714872,6.0,0.023418771917931736,6.0,0.3611272049602121,6.0,13.047888337168843,6.0,2400.0,6.0,11499.0,6.0
1782675010.006,0.006449093126047911,10.0,0.0,0.0,23829.0,3025.0,16320.0,23829.0,10534.0,2472.0,1.3548831939697266,16.0,18.306882376782596,3009.0,0.03220727999714872,6.0,0.023418771917931736,6.0,0.3611272049602121,6.0,13.047888337168843,6.0,2400.0,6.0,11499.0,6.0
1782675010.506,0.0,0.0,0.0,0.0,23829.0,3230.0,16320.0,23829.0,10739.0,2499.0,1.3548831939697266,16.0,20.06897936516907,3214.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
1782675011.007,0.04071406797744248,2.0,0.0,0.0,29749.0,3232.0,16960.0,40715.0,16341.0,2501.0,1.608518123626709,17.0,20.090822847210802,3215.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
1782675011.508,0.06232853223593959,8.0,0.0,0.0,45347.0,3237.0,36576.0,73379.0,27016.0,2503.0,2.8259894847869873,19.0,20.71022200223524,3218.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
1782675012.008,0.029311461667428707,10.0,0.0,0.0,88177.0,3425.0,51328.0,88177.0,40274.0,2522.0,7.984791994094849,26.0,23.94519554870203,3399.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
1782675012.508,0.0300163846974546,10.0,0.0,0.0,88177.0,3925.0,51328.0,88177.0,40774.0,2572.0,7.984791994094849,26.0,28.912276519229636,3899.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
1782675013.009,0.030740359701265096,10.0,0.0,0.0,88177.0,4425.0,51328.0,88177.0,41274.0,2622.0,7.984791994094849,26.0,33.95715852919966,4399.0,0.11785696325926202,16.0,0.023499832721427083,16.0,0.5826934782089666,16.0,20.06897936516907,16.0,3230.0,16.0,23829.0,16.0
