campana,maquina,tipo,serie,motor,celda,repeticion,concurrencia,peticion,ttft_ms,total_ms,tokens,tps,router_s,recuperador_s,generador_s,total_s,error,origen
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,1,1,1256,2397,115,48.0,0.75,0.15,1.46,2.36,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,5,1,1189,2865,115,40.1,0.82,0.17,1.83,2.82,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,5,2,1629,6162,433,70.3,1.03,0.18,4.85,6.06,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,5,3,1052,4785,311,65.0,0.77,0.07,3.94,4.78,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,5,4,1365,5851,405,69.2,0.85,0.2,4.79,5.84,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,5,5,1187,5291,362,68.4,0.82,0.07,4.35,5.24,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,10,1,1346,4209,115,27.3,0.92,0.16,3.08,4.16,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,10,2,2340,9502,606,63.8,0.97,0.25,8.17,9.39,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,10,3,951,5850,281,48.0,0.85,0.06,4.92,5.83,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,10,4,2337,7685,416,54.1,0.94,0.27,6.45,7.66,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
