fichero,campana,maquina,motor,inicio,fin,duracion_s,n_gpus,energia_wh,energia_marginal_wh,pot_media_w,pot_pico_w,vram_pico_gb
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_06b_np1.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:15:49.911000,2026-06-29T01:23:45.136000,475.2,2,59.318,14.654,449.2,647.4,24.3
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_06b_np4.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:28:58.120000,2026-06-29T01:33:16.746000,258.6,2,35.103,14.731,488.4,654.1,26.4
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_06b_np8.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:38:32.223000,2026-06-29T01:42:47.863000,255.6,2,34.229,17.698,481.9,670.9,29.3
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_4b_np1.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:06:55.790000,2026-06-29T01:15:32.040000,516.2,2,64.637,17.791,450.6,628.4,18.3
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_4b_np4.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:24:05.932000,2026-06-29T01:28:39.570000,273.6,2,37.201,15.485,489.3,688.4,20.4
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_12b_4b_np8.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T01:33:37.716000,2026-06-29T01:38:13.352000,275.6,2,37.636,17.212,491.4,688.7,29.3
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_06b_np1.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:43:05.695000,2026-06-29T00:48:41.861000,336.2,2,34.362,8.489,367.9,567.7,33.0
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_06b_np4.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:52:29.126000,2026-06-29T00:55:41.722000,192.6,2,21.748,7.278,406.3,659.8,34.8
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_06b_np8.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:59:26.455000,2026-06-29T01:02:37.042000,190.6,2,21.67,9.397,409.1,631.6,37.2
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_4b_np1.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:37:25.739000,2026-06-29T00:42:54.881000,329.1,2,34.361,7.232,375.7,570.4,27.0
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_4b_np4.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:48:57.889000,2026-06-29T00:52:19.538000,201.6,2,23.034,7.691,411.1,636.3,34.8
eval/prueba_carga_usuarios/1_comparativa_3motores/llamacpp/telemetria/gpu_llamacpp_26b_4b_np8.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,llamacpp,2026-06-29T00:55:58.451000,2026-06-29T00:59:16.047000,197.6,2,22.298,8.804,406.0,624.3,37.2
eval/prueba_carga_usuarios/1_comparativa_3motores/ollama/telemetria/gpu_olla_12b_06b_np1.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,ollama,2026-06-25T18:07:25.371000,2026-06-25T18:15:40.624000,495.3,2,56.99,13.946,414.2,626.3,24.9
eval/prueba_carga_usuarios/1_comparativa_3motores/ollama/telemetria/gpu_olla_12b_06b_np4.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,ollama,2026-06-25T18:29:36.328000,2026-06-25T18:34:32.959000,296.6,2,34.638,12.53,420.3,669.9,29.1
eval/prueba_carga_usuarios/1_comparativa_3motores/ollama/telemetria/gpu_olla_12b_06b_np8.csv,prueba_carga_usuarios/1_comparativa_3motores,voz05,ollama,2026-06-25T18:48:50.074000,2026-06-25T18:54:00.721000,310.6,2,36.173,19.683,419.1,691.0,33.8
