precio_kwh,maquina,preguntas_mes,coste_mensual_local_eur,be_haiku45,be_g31lite,be_gpt56luna
0.1,Estación RTX 5090,1000,37.22,,,
0.1,Estación RTX 5090,5000,37.43,,,
0.1,Estación RTX 5090,20000,38.23,102.4,,
0.1,Estación RTX 5090,100000,42.49,14.6,71.8,99.8
0.1,Servidor 1× PRO 6000,1000,61.0,,,
0.1,Servidor 1× PRO 6000,5000,61.17,,,
0.1,Servidor 1× PRO 6000,20000,61.84,251.9,,
0.1,Servidor 1× PRO 6000,100000,65.39,25.4,153.1,239.4
0.12,Estación RTX 5090,1000,38.41,,,
0.12,Estación RTX 5090,5000,38.67,,,
0.12,Estación RTX 5090,20000,39.62,104.4,,
0.12,Estación RTX 5090,100000,44.74,14.6,73.3,102.9
0.12,Servidor 1× PRO 6000,1000,62.78,,,
0.12,Servidor 1× PRO 6000,5000,62.99,,,
0.12,Servidor 1× PRO 6000,20000,63.79,262.2,,
0.12,Servidor 1× PRO 6000,100000,68.05,25.5,158.3,252.2
0.145,Estación RTX 5090,1000,39.9,,,
0.145,Estación RTX 5090,5000,40.21,,,
0.145,Estación RTX 5090,20000,41.37,107.0,,
0.145,Estación RTX 5090,100000,47.55,14.7,75.4,107.0
0.145,Servidor 1× PRO 6000,1000,65.01,,,
0.145,Servidor 1× PRO 6000,5000,65.27,,,
0.145,Servidor 1× PRO 6000,20000,66.23,276.3,,
0.145,Servidor 1× PRO 6000,100000,71.38,25.7,165.3,270.3
0.17,Estación RTX 5090,1000,41.39,,,
0.17,Estación RTX 5090,5000,41.75,,,
0.17,Estación RTX 5090,20000,43.11,109.7,,
0.17,Estación RTX 5090,100000,50.35,14.8,77.6,111.5
0.17,Servidor 1× PRO 6000,1000,67.24,,,
0.17,Servidor 1× PRO 6000,5000,67.54,,,
0.17,Servidor 1× PRO 6000,20000,68.67,292.1,,
0.17,Servidor 1× PRO 6000,100000,74.7,25.9,172.9,291.3
0.2,Estación RTX 5090,1000,43.18,,,
0.2,Estación RTX 5090,5000,43.61,,,
0.2,Estación RTX 5090,20000,45.21,113.2,,
0.2,Estación RTX 5090,100000,53.73,14.9,80.4,117.4
0.2,Servidor 1× PRO 6000,1000,69.91,,,
0.2,Servidor 1× PRO 6000,5000,70.27,,,
0.2,Servidor 1× PRO 6000,20000,71.6,313.5,,
0.2,Servidor 1× PRO 6000,100000,78.69,26.1,183.0,321.2
0.25,Estación RTX 5090,1000,46.17,,,
0.25,Estación RTX 5090,5000,46.7,,,
0.25,Estación RTX 5090,20000,48.7,119.5,,
0.25,Estación RTX 5090,100000,59.34,15.1,85.5,128.7
0.25,Servidor 1× PRO 6000,1000,74.37,,,
0.25,Servidor 1× PRO 6000,5000,74.81,,,
0.25,Servidor 1× PRO 6000,20000,76.47,357.2,,
0.25,Servidor 1× PRO 6000,100000,85.35,26.5,202.7,387.4
